38 Provinsi,Tingkat Pengangguran Terbuka Menurut Provinsi (Persen),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,1986,1987,1988,1989,1990,1991,1992,1993,1994,1996,1997,1998,1999
,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan,Tahunan
ACEH,4.8,7.71,9.34,8.97,9.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.4,1.67,2.09,3.21,2.28,2.44,1.96,4.01,5.51,6.47,5.24,6.21,7.56
SUMATERA UTARA,8.52,9.09,10.3,11.02,11.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.38,1.88,2.3,2.43,2.44,2.85,2.84,3.2,5.05,6.32,5.19,7.06,7.67
SUMATERA BARAT,4.38,8.74,9.62,10.38,12.74,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.27,1.9,2.32,2.73,2.53,3.01,2.95,2.45,5.24,4.72,4.54,5.11,5.88
RIAU,5.93,6.43,9.57,10.74,15.25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.01,3.94,3.69,3.88,3.05,3,3.54,3.6,5.3,5.94,5.91,5.76,7.62
JAMBI,3.68,5.61,5.78,6.5,6.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.38,1.37,2.57,2.26,1.92,2.39,1.96,1.8,2.79,3.8,4.06,2.59,3.47
SUMATERA SELATAN,5.73,6.32,8.14,9.08,8.37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.88,2.4,2.72,3.11,3.06,2.59,3.14,2.58,3.66,4.02,4.12,2.44,5.03
BENGKULU,3.25,6.01,6.45,7.48,6.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.12,1.2,1.38,2.44,1.43,2.22,1.87,2.24,2.89,3.38,3.42,1.97,3.39
LAMPUNG,5.24,6.39,8.32,9.14,7.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.28,1.39,1.03,1.24,0.86,0.89,1.21,1.42,3.29,4.22,3.44,4.28,4.58
KEP. BANGKA BELITUNG,-,7.08,5.23,7.37,7.14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KEP. RIAU,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DKI JAKARTA,12.08,15.07,14.39,14.86,14.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.35,9.66,10.01,8.47,7.3,6.35,6.35,5.6,9.1,9.41,10.94,12.32,15.01
JAWA BARAT,8.99,11.77,13.19,12.49,13.69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.05,3.74,4.24,4.09,3.23,3.91,3.62,3.82,5.87,6.71,6.42,7.69,9.83
